job_title,salary_in_usd,company_location,experience_level
Data Scientist,79833,DE,MI
Machine Learning Scientist,260000,JP,SE
Big Data Engineer,109024,GB,SE
Product Data Analyst,20000,HN,MI
Machine Learning Engineer,150000,US,SE
Data Analyst,72000,US,EN
Lead Data Scientist,190000,US,SE
Data Scientist,35735,HU,MI
Business Data Analyst,135000,US,MI
Lead Data Engineer,125000,NZ,SE
Data Scientist,51321,FR,EN
Data Scientist,40481,IN,MI
Data Scientist,39916,FR,EN
Lead Data Analyst,87000,US,MI
Data Analyst,85000,US,MI
Data Analyst,8000,PK,MI
Data Engineer,41689,JP,EN
Big Data Engineer,114047,GB,SE
Data Science Consultant,5707,IN,EN
Lead Data Engineer,56000,US,MI
Machine Learning Engineer,43331,CN,MI
Product Data Analyst,6072,IN,MI
Data Engineer,47899,GR,SE
BI Data Analyst,98000,US,MI
Lead Data Scientist,115000,AE,MI
Director of Data Science,325000,US,EX
Research Scientist,42000,NL,EN
Data Engineer,33511,MX,SE
Business Data Analyst,100000,US,EN
Machine Learning Manager,117104,CA,SE
Data Engineering Manager,59303,DE,MI
Big Data Engineer,70000,US,EN
Data Scientist,68428,US,SE
Research Scientist,450000,US,MI
Data Analyst,46759,FR,MI
Data Engineer,74130,AT,MI
Data Science Consultant,103000,US,MI
Machine Learning Engineer,250000,US,EN
Data Analyst,10000,NG,EN
Machine Learning Engineer,138000,US,EN
Data Scientist,45760,US,MI
Data Engineering Manager,79833,ES,EX
Machine Learning Infrastructure Engineer,50180,PT,MI
Data Engineer,106000,US,MI
Data Engineer,112872,GB,MI
ML Engineer,15966,DE,EN
Data Scientist,76958,GB,MI
Data Engineer,188000,US,SE
Data Scientist,105000,US,MI
Data Engineer,70139,FR,MI
Data Analyst,6072,IN,EN
Data Analyst,91000,US,EN
AI Scientist,45896,DK,EN
Data Engineer,54742,DE,EN
Computer Vision Engineer,60000,US,SE
Principal Data Scientist,148261,DE,SE
Data Scientist,38776,ES,MI
Data Scientist,118000,US,MI
Data Scientist,120000,US,SE
Data Scientist,138350,US,MI
Data Engineer,110000,US,MI
Data Engineer,130800,US,MI
Data Scientist,21669,IT,EN
Data Scientist,412000,US,SE
